field,question,model_answer,keywords,difficulty,student_answer,score,label
Python,Explain: What is exception handling in Python?,"Exception handling is done using try, except, else and finally blocks to catch and handle runtime errors gracefully.","exception, try, except, finally",Easy,"handling is using try, except, else and finally blocks and handle runtime errors gracefully.",71.0,Good
Python,Give a short note on: what is the difference between a list and a tuple,A list is mutable and defined with square brackets while a tuple is immutable and defined with parentheses.,"mutable, immutable, tuple, list",Hard,A list is mutable and defined with square brackets while a tuple is immutable and defined with parentheses.,93.0,Excellent
OOP,"in your own words, what is an interface in oop?",An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Easy,I did not study this topic properly. It might relate to implement.,40.0,Average
Data Structures,Give a short note on: what is a hash table,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Easy,"A hash table refers to a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.",93.0,Excellent
Data Structures,What is a hash table?,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Hard,"if I remember correctly, This is used in software development in general. It might relate to lookup.",32.0,Poor
OOP,"In your own words, what is method overloading?",Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Medium,multiple the same class have the same but different parameters. overloading,55.0,Average
Python,Briefly explain what is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Easy,"A is a function which an iterator using the yield keyword, producing lazily one at a time.",79.0,Good
DBMS,Briefly explain what is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"rows at a time and can back, while TRUNCATE all rows at once and usually back. delete",66.0,Good
Data Structures,"in your own words, what is recursion?",Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Easy,"um basically, Recursion refers to a technique where a calls itself to solve instances of the problem a base case is",77.0,Good
DBMS,what is a join in sql?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Easy,asdkj random text here nothing useful,13.0,Poor
DBMS,"In your own words, what is indexing in a database?",Indexing is a data structure technique used to quickly locate and access data in a database without scanning every row.,"index, quickly, locate, data",Medium,Indexing is data structure utilized to quickly locate and access data in database scanning row.,75.0,Good
Data Structures,Briefly explain what is a graph in data structures?,A graph is a non-linear data structure consisting of nodes called vertices connected by edges.,"graph, vertices, edges, nodes",Easy,a graph refers to a non-linear data structure consisting of called vertices by edges.,74.0,Good
Operating Systems,What is thrashing?,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Medium,"in simple words, most of time swapping pages in and of memory instead of executing actual processes. thrashing",55.0,Average
DBMS,Give a short note on: what is the difference between DELETE and TRUNCATE,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Hard,"DELETE removes rows one at time and can be rolled back, while TRUNCATE removes all rows at once and usually be rolled back.",87.0,Excellent
Data Structures,Explain: What is the difference between BFS and DFS?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Easy,"SO LIKE, THIS IS USED IN SOFTWARE DEVELOPMENT IN GENERAL.",43.0,Average
Python,Briefly explain what is a dictionary in Python?,A dictionary is an unordered collection of key-value pairs where each key is unique.,"dictionary, key, value, pairs",Hard,"if i remember correctly, this is related to computers and programming somehow. it might relate to pairs.",36.0,Poor
OOP,Explain: What is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Hard,"Polymorphism lets objects of different classes to be treated as objects of a superclass, letting the method behave differently.",72.0,Good
Operating Systems,Give a short note on: what is a semaphore,A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Easy,asdkj random text here nothing useful,13.0,Poor
Computer Networks,"In your own words, what is a router?",A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Hard,"so like, A is device between different computer based address. router",48.0,Average
Operating Systems,explain: what is virtual memory?,Virtual memory is a memory management technique that gives an application the impression of a large contiguous memory space using disk storage as an extension of RAM.,"virtual, memory, disk, ram",Medium,I like pizza and football on weekends.,4.0,Poor
OOP,What is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Medium,"I think, Polymorphism lets objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.",94.0,Excellent
DBMS,GIVE A SHORT NOTE ON: WHAT IS A VIEW IN SQL,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Easy,"to put it simply, A view is a virtual based on the result of a SQL query does store data itself.",76.0,Good
Computer Networks,"IN YOUR OWN WORDS, WHAT IS A FIREWALL?",A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on defined rules.,"firewall, security, filter, traffic",Medium,A FIREWALL REFERS TO A NETWORK SECURITY DEVICE THAT MONITORS AND FILTERS INCOMING AND OUTGOING NETWORK TRAFFIC BASED ON DEFINED RULES.,90.0,Excellent
Python,Briefly explain what is a lambda function?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Easy,it has something to do with data i think.,36.0,Poor
OOP,Explain: What is method overriding?,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Medium,"um basically, It has something to do with data I think.",42.0,Average
DBMS,Give a short note on: what is a primary key,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Hard,"IF I REMEMBER CORRECTLY, A PRIMARY KEY REFERS TO A COLUMN OR SET OF COLUMNS THAT UNIQUELY IDENTIFIES EACH ROW IN A TABLE AND CANNOT CONTAIN NULL VALUES.",94.0,Excellent
Python,Explain: What is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Medium,a generator is function using the yield lazily one at time.,69.0,Good
Computer Networks,What is the difference between TCP and UDP?,"TCP is a connection-oriented, reliable protocol that guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.","tcp, udp, connection, reliable",Medium,"in simple words, TCP is a connection-oriented, reliable protocol which guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.",94.0,Excellent
Data Structures,Briefly explain what is recursion?,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Medium,"TO PUT IT SIMPLY, RECURSION REFERS TO A TECHNIQUE WHERE A FUNCTION CALLS ITSELF TO SOLVE SMALLER INSTANCES OF THE SAME PROBLEM UNTIL A BASE CASE IS REACHED.",94.0,Excellent
Computer Networks,"In your own words, what is DNS?","DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Medium,"or Domain Name System, translates human-readable domain into IP addresses which computers use to identify each",85.0,Excellent
Data Structures,"In your own words, what is recursion?",Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Easy,Recursion is a technique a calls itself smaller instances the same a is reached. recursion,56.0,Average
DBMS,give a short note on: what is a view in sql,A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Easy,A view is a virtual on result of a that does store physically,66.0,Good
OOP,"in your own words, what is encapsulation?",Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Medium,IT HAS SOMETHING TO DO WITH DATA I THINK. IT MIGHT RELATE TO RESTRICT.,43.0,Average
Computer Networks,What is a MAC address?,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Easy,"to put it simply, address is hardware identifier interface controller for use at the layer. mac",54.0,Average
DBMS,Explain: What is normalization?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Medium,"BASICALLY SPEAKING, REFERS TO THE OF ORGANIZING DATA IN A DATABASE TO REDUCE REDUNDANCY AND IMPROVE DATA INTEGRITY DIVIDING TABLES AND DEFINING RELATIONSHIPS.",70.0,Good
Operating Systems,"In your own words, what is virtual memory?",Virtual memory is a memory management technique that gives an application the impression of a large contiguous memory space using disk storage as an extension of RAM.,"virtual, memory, disk, ram",Hard,Virtual memory refers to a memory technique that gives an application impression of a large contiguous memory using disk storage an extension of RAM.,83.0,Good
Python,What are decorators in Python?,"A decorator is a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.","decorator, function, wraps, modify",Easy,I don't remember this concept clearly.,27.0,Poor
DBMS,Briefly explain what is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Easy,Denormalization refers to the of adding data to a normalized database to improve performance.,76.0,Good
OOP,Give a short note on: what is method overriding,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Medium,overriding occurs when a subclass provides a specific a method its parent class.,53.0,Average
DBMS,Give a short note on: what is a join in SQL,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,"I don't know, skip this question.",13.0,Poor
Operating Systems,Briefly explain what is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Hard,IS A TWO OR PROCESSES PROCEED IS WAITING A RESOURCE HELD DEADLOCK,49.0,Average
Computer Networks,What is an IP address?,An IP address is a unique numerical identifier assigned to every device connected to a network that uses the Internet Protocol for communication.,"ip, address, unique, network",Easy,An refers to a unique numerical identifier assigned to every device connected to a network that uses the Internet Protocol communication.,84.0,Good
DBMS,What is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Easy,"basically speaking, Denormalization is the process of adding redundant data to a normalized database to improve read performance.",91.0,Excellent
Data Structures,Give a short note on: what is a hash table,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Easy,"HASH IS A KEYS A HASH FAST LOOKUP, INSERTION AND",66.0,Good
DBMS,Briefly explain what is a primary key?,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Medium,My favorite color is blue.,8.0,Poor
DBMS,GIVE A SHORT NOTE ON: WHAT IS DENORMALIZATION,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Medium,PROCESS ADDING TO A DATABASE TO READ DENORMALIZATION,60.0,Average
Operating Systems,What is thrashing?,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Medium,thrashing when a system spends of its swapping pages in and out of memory instead of actual processes.,75.0,Good
DBMS,"In your own words, what is indexing in a database?",Indexing is a data structure technique used to quickly locate and access data in a database without scanning every row.,"index, quickly, locate, data",Medium,a data used locate and access data a without scanning every index,52.0,Average
Computer Networks,Explain: What is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Medium,a router refers to a networking device that forwards data packets between different computer networks based on their destination address.,91.0,Excellent
Computer Networks,WHAT IS DNS?,"DNS, or Domain Name System, translates human-readable domain names into IP addresses that computers use to identify each other.","dns, domain, translate, ip",Hard,"well, DNS, or Domain Name System, translates domain into IP addresses that use to identify each other.",73.0,Good
Python,EXPLAIN: WHAT IS A LAMBDA FUNCTION?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Medium,A lambda function is a small anonymous function defined using the lambda keyword which can take any number of arguments but has only one expression.,93.0,Excellent
Python,Give a short note on: what is the Global Interpreter Lock (GIL),"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.","gil, mutex, thread, bytecode",Hard,"THE GIL IS A MUTEX THAT LETS ONLY ONE THREAD TO EXECUTE PYTHON BYTECODE AT A TIME, LIMITING TRUE PARALLELISM IN MULTI-THREADED PROGRAMS.",96.0,Excellent
DBMS,"In your own words, what is denormalization?",Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Hard,the adding redundant data to normalized to denormalization,59.0,Average
Data Structures,Explain: What is the difference between BFS and DFS?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Easy,ASDKJ RANDOM TEXT HERE NOTHING USEFUL,18.0,Poor
Data Structures,Explain: What is a linked list?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Hard,A linked list refers to a linear data structure where each element points to the next element using pointers instead of contiguous memory.,97.0,Excellent
Python,BRIEFLY EXPLAIN WHAT IS THE GLOBAL INTERPRETER LOCK (GIL)?,"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.","gil, mutex, thread, bytecode",Medium,"The GIL refers to a mutex that allows only one thread to execute bytecode at a time, true parallelism in",80.0,Good
Python,"IN YOUR OWN WORDS, WHAT IS A LIST IN PYTHON?","A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Hard,"a list is mutable, ordered collection of items which can elements of different types.",78.0,Good
OOP,what is method overloading?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Hard,"in simple words, Method allows multiple in the same have the same name different overloading",47.0,Average
Operating Systems,Give a short note on: what is deadlock,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Easy,"in simple words, Deadlock is more are to is for held another. deadlock",48.0,Average
DBMS,"in your own words, what is indexing in a database?",Indexing is a data structure technique used to quickly locate and access data in a database without scanning every row.,"index, quickly, locate, data",Medium,is a data structure technique used to quickly locate and access data in a database without scanning,78.0,Good
Data Structures,What is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Hard,a binary search tree is a tree where the subtree contains nodes smaller than the parent the right subtree contains nodes greater.,83.0,Good
Python,Give a short note on: what is the Global Interpreter Lock (GIL),"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.","gil, mutex, thread, bytecode",Hard,The GIL refers to a mutex that allows one thread to execute bytecode a limiting true parallelism in multi-threaded programs.,74.0,Good
Operating Systems,What is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Hard,"honestly, deadlock refers to a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.",90.0,Excellent
DBMS,Give a short note on: what is denormalization,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Medium,Denormalization process of redundant to to read performance. denormalization,47.0,Average
Operating Systems,What is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Easy,"well, system call is used by to request system's",48.0,Average
Computer Networks,Explain: What is the difference between TCP and UDP?,"TCP is a connection-oriented, reliable protocol that guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.","tcp, udp, connection, reliable",Hard,"tcp refers to a connection-oriented, reliable protocol that delivery, while udp is a connectionless protocol that is faster but does delivery.",77.0,Good
DBMS,give a short note on: what is normalization,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Medium,the organizing data to reduce redundancy and improve data integrity and defining relationships. normalization,55.0,Average
Data Structures,What is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Hard,it has something to do with data i think.,27.0,Poor
Operating Systems,Explain: What is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Medium,"if I remember correctly, call the mechanism used by a program a service the operating system's",66.0,Good
DBMS,GIVE A SHORT NOTE ON: WHAT IS A FOREIGN KEY,A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Easy,foreign key is a column which a between two tables by referencing primary key of another table.,78.0,Good
Operating Systems,Briefly explain what is a scheduler in OS?,A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Hard,"if I remember correctly, This is used in software development in general. It might relate to decides.",43.0,Average
Data Structures,"In your own words, what is dynamic programming?",Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Hard,AN OPTIMIZATION TECHNIQUE WHICH SOLVES COMPLEX PROBLEMS BREAKING THEM INTO SUBPROBLEMS AND STORING RESULTS TO AVOID RECOMPUTATION.,84.0,Good
DBMS,"In your own words, what is a transaction in DBMS?",A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Hard,"to put it simply, A transaction refers to a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.",93.0,Excellent
DBMS,"In your own words, what is a foreign key?",A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Medium,"well, A foreign key refers to a column that creates a link between two tables by referencing the key of another",73.0,Good
Operating Systems,"In your own words, what is a system call?",A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Hard,A system the mechanism used by a program to request a service from the operating kernel.,78.0,Good
DBMS,Explain: What is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,A JOIN IS USED TO COMBINE ROWS FROM TWO OR MORE TABLES BASED ON A RELATED COLUMN BETWEEN THEM.,94.0,Excellent
Computer Networks,What is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Hard,BANDWIDTH THE MAXIMUM RATE TRANSFER NETWORK MEASURED TYPICALLY IN PER BANDWIDTH,62.0,Average
Python,Briefly explain what is the Global Interpreter Lock (GIL)?,"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.","gil, mutex, thread, bytecode",Medium,"IS A THAT ALLOWS ONE THREAD TO EXECUTE PYTHON A TIME, TRUE MULTI-THREADED PROGRAMS. GIL",49.0,Average
Python,Explain: What is a generator in Python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Medium,"A generator refers to a that returns an iterator using yield keyword, producing values one at a time.",72.0,Good
Data Structures,Give a short note on: what is recursion,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Hard,"to put it simply, it has something to do with data i think.",34.0,Poor
OOP,WHAT IS ENCAPSULATION?,Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Hard,This is used in software development in general.,31.0,Poor
OOP,"in your own words, what is a class in oop?",A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Medium,"BASICALLY SPEAKING, A CLASS REFERS TO A BLUEPRINT CREATING OBJECTS THAT A SET OF METHODS TO OBJECTS OF THAT TYPE.",78.0,Good
Data Structures,what is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Medium,A a structure that follows the First First Out insertion at the at the front. queue,65.0,Good
DBMS,"IN YOUR OWN WORDS, WHAT IS A PRIMARY KEY?",A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Easy,It has something to do with data I think.,20.0,Poor
Data Structures,Give a short note on: what is dynamic programming,Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Medium,programming that problems breaking subproblems storing results to recomputation. dynamic,45.0,Average
OOP,GIVE A SHORT NOTE ON: WHAT IS POLYMORPHISM,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Hard,"I think, Polymorphism lets objects of different classes to as objects of a common superclass, letting the same method behave",71.0,Good
Python,"IN YOUR OWN WORDS, WHAT IS THE DIFFERENCE BETWEEN A LIST AND A TUPLE?",A list is mutable and defined with square brackets while a tuple is immutable and defined with parentheses.,"mutable, immutable, tuple, list",Easy,"honestly, A list is mutable and defined with square brackets while a is immutable and defined with parentheses.",73.0,Good
Python,What is the difference between deep copy and shallow copy?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Hard,"if I remember correctly, It has something to do with data I think.",35.0,Poor
Data Structures,what is a hash table?,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Hard,I like pizza and football on weekends.,2.0,Poor
OOP,Briefly explain what is encapsulation?,Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Hard,refers to the bundling of data methods that operate on that data within a single unit restricting direct some components.,80.0,Good
OOP,what is object composition?,Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Easy,is a principle where a is composed or classes functionality. composition,49.0,Average
OOP,Briefly explain what is abstraction in OOP?,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Easy,"SO LIKE, COMPLEX IMPLEMENTATION SHOWING ONLY THE NECESSARY AN THE USER. ABSTRACTION",67.0,Good
DBMS,Explain: What is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Medium,"honestly, Denormalization the process of adding data to a normalized database to improve read",71.0,Good
Data Structures,WHAT IS A LINKED LIST?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Medium,"if I remember correctly, linked linear where each element points to next element using pointers of",50.0,Average
OOP,"In your own words, what is object composition?",Object composition is a design principle where a class is composed of one or more objects of other classes to achieve complex functionality.,"composition, object, class, design",Hard,"WELL, NOT VERY SURE, BUT IT SOUNDS LIKE A TECHNICAL TERM. IT MIGHT RELATE TO DESIGN.",24.0,Poor
Python,Explain: What is list comprehension?,List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Hard,This is used in software development in general.,44.0,Average
OOP,Give a short note on: what is polymorphism,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Hard,"POLYMORPHISM LETS OBJECTS OF DIFFERENT CLASSES TO BE TREATED AS OBJECTS OF A COMMON SUPERCLASS, LETTING THE SAME METHOD BEHAVE DIFFERENTLY.",97.0,Excellent
Operating Systems,What is paging?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Medium,is a memory that the need for of physical memory memory into fixed-size paging,56.0,Average
Operating Systems,explain: what is paging?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Hard,"honestly, is a memory scheme which eliminates the need contiguous allocation of physical memory by dividing memory into fixed-size pages.",71.0,Good
Operating Systems,Explain: What is virtual memory?,Virtual memory is a memory management technique that gives an application the impression of a large contiguous memory space using disk storage as an extension of RAM.,"virtual, memory, disk, ram",Medium,"basically speaking, Virtual memory a memory management an the of a contiguous memory space storage as an extension of RAM. virtual",51.0,Average
Python,"In your own words, what is the difference between a list and a tuple?",A list is mutable and defined with square brackets while a tuple is immutable and defined with parentheses.,"mutable, immutable, tuple, list",Easy,A list is mutable and defined with square brackets while a tuple is immutable and defined with parentheses.,98.0,Excellent
Python,briefly explain what is a generator in python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Easy,"so like, a generator is a function which returns an iterator using the yield keyword, producing values lazily one at a time.",92.0,Excellent
Data Structures,what is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Hard,A binary search tree a node-based tree where the subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,83.0,Good
Python,What is the Global Interpreter Lock (GIL)?,"The GIL is a mutex that allows only one thread to execute Python bytecode at a time, limiting true parallelism in multi-threaded programs.","gil, mutex, thread, bytecode",Medium,"THE GIL REFERS TO A MUTEX THAT ONLY ONE THREAD TO EXECUTE PYTHON BYTECODE A TIME, LIMITING IN PROGRAMS.",86.0,Excellent
Computer Networks,"In your own words, what is HTTP?","HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Easy,"in simple words, HTTP, or HyperText Transfer Protocol, refers to application layer protocol used for transmitting web pages internet.",70.0,Good
Operating Systems,What is the difference between a process and a thread?,A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Medium,"TO PUT IT SIMPLY, A PROCESS REFERS TO AN INDEPENDENT WITH ITS OWN MEMORY SPACE WHILE A THREAD IS A UNIT OF EXECUTION WITHIN A PROCESS THAT SHARES MEMORY WITH OTHER",72.0,Good
OOP,Briefly explain what is polymorphism?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.","polymorphism, objects, method, class",Medium,"in simple words, Polymorphism allows objects of different classes to be treated as objects of a common superclass, letting the same method behave differently.",93.0,Excellent
OOP,Briefly explain what is method overloading?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Hard,Method overloading allows multiple methods in the same class to have the same name but parameters.,84.0,Good
Data Structures,Explain: What is a stack?,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Medium,A a data structure Last First Out principle insertion and deletion one end. stack,60.0,Average
Data Structures,WHAT IS THE DIFFERENCE BETWEEN BFS AND DFS?,BFS explores a graph level by level using a queue while DFS explores as deep as possible along a branch using a stack or recursion.,"bfs, dfs, queue, stack",Hard,explores a level by level a queue while dfs explores as as a a recursion. bfs,51.0,Average
Operating Systems,what is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Easy,A system is the used by a a service the operating system's,68.0,Good
DBMS,Explain: What is a foreign key?,A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Easy,A key a a link between referencing key of table. foreign,63.0,Average
Data Structures,Explain: What is a hash table?,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Easy,"in simple words, A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.",92.0,Excellent
Data Structures,Briefly explain what is a hash table?,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Hard,A hash table a data structure to values using a hash for fast and deletion.,51.0,Average
Operating Systems,explain: what is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Medium,"basically speaking, Not very sure, but it sounds like a technical term. It might relate to service.",42.0,Average
Operating Systems,Briefly explain what is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Easy,A system call refers to the mechanism used by a program to request a service from the operating system's kernel.,97.0,Excellent
DBMS,Give a short note on: what is a join in SQL,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Medium,My favorite color is blue.,11.0,Poor
Operating Systems,briefly explain what is the difference between a process and a thread?,A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Medium,"to put it simply, process with its own memory a a unit within a process that shares memory with other",54.0,Average
